Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    2897      157       14    94.9%          124       3099
    2524      202       18    92.6%          125       3099
   12910      401       72    97.0%          125       3096
    3418      467        1    88.0%          125       3098
    1890       43        0    97.8%          125       3098
    1957       28       21    98.6%          125       3098
   11645       98        6    99.2%          125       3098
    8747      605       25    93.5%          125       3101
    1360        0        1   100.0%          125       3101
    1878        0        1   100.0%          125       3101
    1332        0        1   100.0%          125       3101
    1335        0        1   100.0%          125       3101
    1877        0        1   100.0%          125       3101
    1332        0        1   100.0%          125       3101
    1854        0        1   100.0%          125       3101
    1875        0        1   100.0%          125       3101
    1849        0        1   100.0%          125       3101
    1319        2        3    99.8%          125       3101
    1336        0        1   100.0%          125       3101
    1353        0        1   100.0%          125       3101
    1837        0        1   100.0%          125       3101
    1362        0        1   100.0%          125       3101
    1849        2        3    99.9%          125       3101
    1850        0        1   100.0%          125       3101
    1870        0        1   100.0%          125       3101
    1331        0        1   100.0%          125       3101
    1341        0        1   100.0%          125       3101
    1829        2        3    99.9%          125       3101
    1851        0        1   100.0%          125       3101
    1882        0        1   100.0%          125       3101
    1834        0        1   100.0%          125       3101
    1356        0        1   100.0%          125       3101
    1878        0        1   100.0%          125       3101
    1852        0        5   100.0%          125       3101
    1356        0        1   100.0%          125       3101
    1854        0        1   100.0%          125       3101
    1364        0        1   100.0%          125       3101
    1332        0        1   100.0%          125       3101
    1857        0        6   100.0%          125       3101
    1360        0        1   100.0%          125       3101
    1833        0        1   100.0%          125       3101
    1878        0        1   100.0%          125       3101
    1857        0        2   100.0%          125       3101
    1839        0        6   100.0%          125       3101
    1855        0        1   100.0%          125       3101
    1336       32        1    97.7%          125       3101
    1847        0        1   100.0%          125       3101
    1878        0        1   100.0%          125       3101
    2519        0        3   100.0%          125       3101
    1339        0        1   100.0%          125       3101
    1850        0        1   100.0%          125       3101
    1849        0        1   100.0%          125       3101
    1828        0        1   100.0%          125       3101
    1338        0        3   100.0%          125       3101
    1857        0        1   100.0%          125       3101
    1333        0        1   100.0%          125       3101
    1854        0        1   100.0%          125       3101
    1342        0        1   100.0%          125       3101
    1847        0        1   100.0%          125       3101
    1875        0        2   100.0%          125       3101
    1850        0        1   100.0%          125       3101
    1853        0        1   100.0%          125       3101
    1827        0        1   100.0%          125       3101
    1837        0        3   100.0%          125       3101
    1835        0        1   100.0%          125       3101
    1359        0        1   100.0%          125       3101
    1854        0        1   100.0%          125       3101
    1335        0        1   100.0%          125       3101
    1357        0        1   100.0%          125       3101
    1836        0        1   100.0%          125       3101
    1857        0        1   100.0%          125       3101
    1871        0        1   100.0%          125       3101
    1836        0        1   100.0%          125       3101
    1850        0        1   100.0%          125       3101
    1876        0        3   100.0%          125       3101
    1885        0        1   100.0%          125       3101
    1836        0        1   100.0%          125       3101
    1339        0        1   100.0%          125       3101
    1849        0        1   100.0%          125       3101
    1877        0        1   100.0%          125       3101
    1854        0        3   100.0%          125       3101
    1858        0        1   100.0%          125       3101
    1850        0        1   100.0%          125       3101
    1847        0        1   100.0%          125       3101
    1837        0        3   100.0%          125       3101
    1359        0        1   100.0%          125       3101
    1847        0        1   100.0%          125       3101
    1362        0        1   100.0%          125       3101
    1339        0        1   100.0%          125       3101
    1650        0        3   100.0%          125       3101
    1856        0        1   100.0%          125       3101
    1856        0        1   100.0%          125       3101
    1853        0        1   100.0%          125       3101
    1335        0        1   100.0%          125       3101
    1879        0        1   100.0%          125       3101
    1866        0        3   100.0%          125       3101
    1850        0        1   100.0%          125       3101
    1874        0        1   100.0%          125       3101
    1846        0        1   100.0%          125       3101
    1356        0        1   100.0%          125       3101
    1336        0        3   100.0%          126       3101
    1490        0        1   100.0%          126       3101
    1875        0        1   100.0%          126       3101
    1335        0        1   100.0%          126       3101
    1360        0        1   100.0%          126       3101
    1856        0        1   100.0%          126       3101
    1849        0        3   100.0%          126       3101
    1871        0        1   100.0%          126       3101
    1878        0        1   100.0%          126       3101
    1474        0        1   100.0%          126       3101
    1856        1        1    99.9%          126       3101
    1854        0        3   100.0%          126       3101
    1334        0        1   100.0%          126       3101
    1851        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1322        0        1   100.0%          126       3101
    1318        0        3   100.0%          126       3101
    1851        0        1   100.0%          126       3101
    1857        0        1   100.0%          126       3101
    1333        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1335        0        1   100.0%          126       3101
    1875        0        3   100.0%          126       3101
    1364        0        1   100.0%          126       3101
    1363        0        1   100.0%          126       3101
    1852        0        1   100.0%          126       3101
    1341        0        1   100.0%          126       3101
    1875        0        3   100.0%          126       3101
    1851        0        1   100.0%          126       3101
    1876        0        1   100.0%          126       3101
    1836        0        1   100.0%          126       3101
    1875        0        1   100.0%          126       3101
    1318        0        1   100.0%          126       3101
    1848        0        3   100.0%          126       3101
    1846        0        1   100.0%          126       3101
    1847        0        1   100.0%          126       3101
    1356        0        1   100.0%          126       3101
    1532        0        1   100.0%          126       3101
    1855        0        3   100.0%          126       3101
    1851        0        1   100.0%          126       3101
    1359        0        1   100.0%          126       3101
    1845        0        1   100.0%          126       3101
    1836        0        1   100.0%          126       3101
    1827        0        5   100.0%          126       3101
    1856        0        2   100.0%          126       3101
    1878        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1868        0        1   100.0%          126       3101
    1836        0        3   100.0%          126       3101
    1875        0        1   100.0%          126       3101
    1848        0        1   100.0%          126       3101
    1879        0        1   100.0%          126       3101
    1850        0        1   100.0%          126       3101
    1833        0        1   100.0%          126       3101
    1836        0        1   100.0%          126       3101
    1835        0        1   100.0%          126       3101
    1786        0        1   100.0%          126       3101
    1878        0        1   100.0%          126       3101
    1361        0        1   100.0%          126       3101
    1830        0        3   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1868        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1336        0        1   100.0%          126       3101
    1829        0        3   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1335        0        1   100.0%          126       3101
    1847        0        1   100.0%          126       3101
    1338        0        1   100.0%          126       3101
    1836        0        3   100.0%          126       3101
    1339        0        1   100.0%          126       3101
    1321        0        1   100.0%          126       3101
    1337        0        1   100.0%          126       3101
    1847        0        1   100.0%          126       3101
    1321        0        1   100.0%          126       3101
    1875        0        2   100.0%          126       3101
    1357        0        1   100.0%          126       3101
    1871        0        1   100.0%          126       3101
    1342        0        1   100.0%          126       3101
    1848        0        3   100.0%          126       3101
    1341        0        1   100.0%          126       3101
    1877        0        1   100.0%          126       3101
    1866        0        1   100.0%          126       3101
    1362        0        1   100.0%          126       3101
    1874        0        1   100.0%          126       3101
    1351        0        3   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1856        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1321        0        1   100.0%          126       3101
    1850        0        3   100.0%          126       3101
    1853        0        1   100.0%          126       3101
    1871        0        1   100.0%          126       3101
    1321        0        1   100.0%          126       3101
    1847        0        1   100.0%          126       3101
    1851        0        1   100.0%          126       3101
    1869        0        3   100.0%          126       3101
    1853        0        1   100.0%          126       3101
    1874        0        1   100.0%          126       3101
    1363        0        1   100.0%          126       3101
    1332        0        1   100.0%          126       3101
    1359        0        3   100.0%          126       3101
    1339        0        1   100.0%          126       3101
    1833        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1852        0        1   100.0%          126       3101
    1845        0        5   100.0%          126       3101
    1848        0        1   100.0%          126       3101
    1856        0        1   100.0%          126       3101
    1853        0        1   100.0%          126       3101
    1356        0        1   100.0%          126       3101
    1876        0        3   100.0%          126       3101
    1857        0        1   100.0%          126       3101
    1331        0        1   100.0%          126       3101
    1877        0        1   100.0%          126       3101
    1878        0        1   100.0%          126       3101
    1850        0        1   100.0%          126       3101
    1316        0        1   100.0%          126       3101
    1339        0        1   100.0%          126       3101
    1848        0        1   100.0%          126       3101
    1356        0        1   100.0%          126       3101
    1876        0        1   100.0%          126       3101
    1360        0        3   100.0%          126       3101
    1876        0        1   100.0%          126       3101
    1851        0        1   100.0%          126       3101
    1848        0        1   100.0%          126       3101
    1836        0        1   100.0%          126       3101
    1360        0        1   100.0%          126       3101
    1831        0        3   100.0%          126       3101
    1876        0        1   100.0%          126       3101
    1363        0        1   100.0%          126       3101
    1847        0        1   100.0%          126       3101
    1854        0        1   100.0%          126       3101
    1333        2        3    99.9%          126       3101
    1332        0        1   100.0%          126       3101
    1851        0        1   100.0%          126       3101
    1875        0        1   100.0%          126       3101
    1833        0        1   100.0%          126       3101
    1667        2        3    99.9%          126       3101
    1342        0        1   100.0%          126       3101
    1336        0        1   100.0%          126       3101
    1856        0        1   100.0%          126       3101
    1849        0        1   100.0%          126       3101
    1849        2        3    99.9%          126       3101
    1341        0        1   100.0%          126       3101
    1831        0        1   100.0%          126       3101
    1333        0        1   100.0%          126       3101
    1343        0        6   100.0%          126       3101
    1949        0       42   100.0%          126       3101
    1338        0        1   100.0%          126       3101
    1850        0        1   100.0%          126       3101
    1879        0        1   100.0%          126       3101
    1852        0        1   100.0%          126       3101
    1849        0       11   100.0%          126       3101
    1858        0        1   100.0%          126       3101
    1332        0        1   100.0%          126       3101
    1334        0        1   100.0%          126       3101
