[7l-dsk/total-
 read  writ
1192k  100k
  25M    0 
  25M    0 
  25M    0 
  24M  148k
  25M   12k
  25M    0 
3096k   27M
  17M   21M
  25M   52k
7940k   34M
  25M   14M
  22M 5132k
1544k   45M
9084k   45M
  44M   76M
5752k 4096B
  25M   28k
  25M    0 
  25M    0 
  25M    0 
  25M   24M
  25M   25M
9864k   28M
  22M   20M
  25M    0 
1160k   34M
  22M   38M
  57M   97M missed 2 ticks
  19M 4096B
  25M    0 
  24M  112k
  25M 5760k
  24M   38M
  17M   13M
  14M   31M
  25M   80k
6024k   31M
7808k   45M
  25M   42M
  25M   43M
  25M 8352k
  25M    0 
  24M    0 
  24M    0 
  25M   15M
  19M   29M
  15M   20M
  25M   24M
  18M   14M
6012k   42M
  25M   45M
  43M   67M
8448k 4096B
  25M    0 
  25M    0 
  25M   16k
  25M   21M
  24M   23M
  15M   34M
  25M   10M
  11M   26M
 516k   43M
   0    54M
  19M   31M
  25M   15M
  25M    0 
  25M   28k
  25M    0 
  25M    0 
  25M 2048k
  25M   38M
  15M   18M
  17M   22M
  23M 4488k
   0    37M
  24M   34M
  25M   42M
  28M   50M
  22M 4096B
  25M    0 
  25M    0 
  25M 9892k
  32M   54M
  18M    0 
  25M   32M
  23M   15M
8192B   43M
  17M   40M
  25M   37M
  25M   37M
  29M 3968k
  28M  140k
  25M    0 
  25M 4224k
  25M   36M
  16M   21M
  25M   19M
  13M   21M
  19M   43M
  25M   44M
  25M   41M
  26M   19M
  26M    0 
  25M    0 
  25M 6316k
  25M   30M
  25M   35M
  25M   15M
  25M   22M
5500k   34M
  25M   41M
  16M   44M
   0    48M
  23M 4096B
  24M    0 
  25M    0 
  25M   20k
  25M    0 
  25M   36M
  25M   22M
  25M   17M
4096B   45M
   0    60M
  17M   23M
  25M   36M
  25M    0 
  25M   28k
  25M    0 
  25M    0 
  25M    0 
  25M   36M
  12M   25M
  19M   11M
  18M   14M
  13M   40M
  25M   45M
  25M   43M
  25M   25M
  25M    0 
  25M    0 
  25M    0 
  25M   30M
  25M   25M
  18M   23M
  24M   18M
8448k   30M
  24M   44M
1536k   43M
   0    50M
  23M 4096B
  25M    0 
  25M    0 
  25M   16k
  25M    0 
  25M   13M
  25M   21M
  25M   30M
7940k   31M
  14M   38M
  25M   39M
  25M   46M
  25M   13M
  25M   36k
  25M    0 
  25M    0 
  25M   32M
  25M   26M
  23M   14M
  25M   24M
3576k   41M
  25M   44M
  25M   44M
  25M   38M
  25M 4096B
  25M    0 
  25M    0 
  25M   12M
  25M   22M
  25M   30M
  16M   32M
  23M 5312k
9852k   44M
  25M   43M
  44M   75M
7424k 4096B
  25M    0 
  25M    0 
  24M   16k
  25M   30M
  25M   23M
  22M   18M
  19M   25M
  13M   18M
  16M   37M
  25M   39M
  25M   44M
  25M   29M
  25M   32k
  25M    0 
  25M    0 
  24M   32M
  25M   28M
  25M   19M
  24M   20M
8316k   43M
  24M   45M
  25M   42M
  25M   33M
  25M    0 
  25M    0 
  24M    0 
  24M   20M
  24M   22M
  25M   22M
  24M   32M
9472k   29M
4224k   42M
  25M   43M
  34M   53M
  17M 4096B
  25M    0 
  24M    0 
  25M   16k
  25M   18M
  19M   25M
  22M   21M
  25M   26M
  17M   21M
  16M   44M
  25M   43M
  25M   44M
  25M   21M
  25M   52k
  25M    0 
  25M    0 
  25M   38M
  25M   14M
  25M   25M
  25M   32M
  11M   23M
  19M   41M
  25M   45M
  25M   44M
  25M   13M
  25M    0 
  25M    0 
  22M 6784k
  20M   21M
  24M   27M
  25M   23M
  25M   24M
  25M   43M
  25M   42M
  65M   98M missed 2 ticks
  13M 4096B
  25M    0 
  25M   16k
  25M   16M
  25M   27M
  25M   21M
  25M   24M
  25M   24M
  25M   41M
  25M   44M
  25M   43M
  25M   42M
  22M   14M
  25M    0 
  25M    0 
  25M   15M
  25M   25M
  25M   22M
  25M   25M
  25M   44M
  25M   44M
  25M   44M
  25M   42M
  25M 6820k
  25M    0 
  25M    0 
  25M   28M
  25M   24M
  25M   22M
  25M   22M
  25M   39M
  25M   39M
6280k   42M
   0    71M
9728k  228k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M   52k
  25M   28M
8960k   30M
  15M   40M
  25M   45M
  25M   43M
  26M 8128k
  25M    0 
  25M    0 
  25M 1152k
  25M   40M
  26M   15M
  25M   32M
  25M   24M
  29M   23M
  25M   42M
  74M  118M missed 2 ticks
3840k 4096B
  25M    0 
  24M   28k
  25M 9788k
  25M   21M
  25M   26M
  25M   28M
  25M   28M
  25M   28M
  25M   43M
  24M   42M
  25M   44M
  24M   43M
  24M 4096B
  24M    0 
  25M    0 
  25M   19M
  25M   26M
  25M   24M
  25M   21M
  25M   42M
  25M   44M
  25M   43M
  40M   67M
  11M 4096B
  24M    0 
  24M    0 
  25M 2064k
  25M   26M
  25M   28M
  25M   28M
  25M   28M
  25M   38M
  72M  118M missed 2 ticks
4488k 4096B
  25M    0 
  25M   16k
  25M   11M
  24M   23M
  24M   22M
  25M   28M
  21M   35M
   0   130M missed 3 ticks
  25M   16M
  25M   32k
  25M    0 
  24M  512B
  24M    0 
  24M    0 
  24M 9868k
  25M   23M
  25M   23M
  24M   28M
  25M   37M
  24M   44M
  60M  102M missed 2 ticks
  15M 4096B
  25M    0 
  25M    0 
  25M   19M
  25M   22M
  25M   23M
  24M   21M
4732k   37M
  78M  127M missed 3 ticks
  22M 4096B
  24M    0 
  25M   16k
  25M   22M
  25M   25M
  24M   19M
  25M   23M
 512k   39M
   0   116M missed 2 ticks
3568k 4100k
  25M 4480k
  25M   28k
  24M    0 
  25M    0 
  25M    0 
  25M    0 
  18M   21M
  20M 7604k
  25M   28M
  25M   24M
  26M   34M
  25M   43M
  25M   44M
  40M   62M
  11M 4096B
  25M    0 
  25M    0 
  25M   18M
  25M   28M
  25M   26M
  25M   24M
  25M   31M
  25M   44M
  62M  107M missed 2 ticks
  13M 4096B
  25M    0 
  25M   16k
  25M   12M
  25M   28M
  24M   20M
  25M   25M
  20M   19M
  25M   37M
  25M   42M
  25M   43M
  25M   44M
  25M   35M
  24M    0 
  25M    0 
  25M    0 
  25M   31M
  25M   15M
  25M   34M
  25M   25M
  25M   15M
  25M   42M
5512k   38M
   0   102M missed 2 ticks
  15M 4096B
  26M 4096B
  29M   68k
  43M  136k
  41M    0 
  39M   21M
  30M   25M
  26M   37M
  17M   42M
   0   105M missed 2 ticks
  14M   19M
  70M  384k
  58M   56k
  40M   21M
  27M   36M
  26M   22M
  30M 3724k
  25M   27M
  26M   29M
  27M   20M
  24M   24M
9228k   41M
  25M   41M
  25M   37M
  25M   37M
  29M 5420k
  26M    0 
  26M    0 
  25M   20M
  25M   28M
  25M   30M
  25M   22M
  26M   33M
  25M   40M
  25M   44M
  25M   42M
  27M   40M
  23M 4096B
  26M    0 
  26M    0 
  25M   23M
  25M   25M
  25M   26M
  25M   22M
  25M   44M
  25M   44M
  55M   93M missed 2 ticks
  21M 4096B
  26M  512B
  26M   16k
  26M   20M
  25M   28M
  25M   25M
  25M   23M
  15M   34M
  16k  115M missed 2 ticks
2052k 1048k
  25M   24M
  26M   28k
  26M    0 
  26M    0 
  26M    0 
  26M    0 
  24M   23M
  20M   23M
  26M   25M
  26M   25M
  25M   38M
  23M   42M
 108k  111M missed 2 ticks
1408k 4096B
  29M    0 
  27M   20k
  27M    0 
  27M    0 
  27M    0 
  26M   16M
  26M   31M
  83M  141M missed 3 ticks
  20M  280k
  28M    0 
  30M  568k
  26M   18M
  25M   30M
  25M   32M
  25M   31M
  23M   18M
   0    42M
   0    38M
4472k   42M
  25M   26M
  25M    0 
  25M   28k
  25M    0 
  25M    0 
  25M    0 
  25M   23M
  25M   25M
  25M   28M
  25M   22M
  20M   39M
  25M   44M
  25M   42M
  25M   47M
  25M   27M
  30M    0 
  30M    0 
  30M  260k
  26M   31M
  26M   19M
  25M   31M
