[7l-dsk/total-
 read  writ
  26M   24M
  25M   46M
  25M   43M
  25M   37M
  31M   46M
  22M   56k
  30M    0 
  29M 3972k
  26M   29M
  27M   24M
  26M   24M
  26M   27M
  25M   43M
  25M   44M
  25M   45M
  25M   39M
  30M    0 
  30M    0 
  30M 5188k
  26M   28M
  20M   16M
  27M   21M
  26M   28M
  25M   41M
  25M   43M
  25M   43M
  44M   72M
8232k 4096B
  29M    0 
  31M    0 
  30M 8712k
  27M   25M
  26M   27M
  26M   22M
  26M   29M
7944k   41M
  16k   87M missed 2 ticks
  21M   33M
  29M 4736k
  27M   32k
  27M    0 
  26M    0 
  27M    0 
  29M   15M
  26M   23M
  25M   27M
  26M   25M
  26M   30M
  25M   43M
  25M   40M
  60M   92M missed 2 ticks
  19M 4096B
  26M    0 
  26M   20k
  26M   22M
  25M   26M
  25M   26M
  25M   22M
  11M   43M
  16k  113M missed 2 ticks
  10M   15M
  26M 1152k
  30M   32k
  27M    0 
  28M    0 
  26M    0 
  26M   20k
  11M   17M
 612k    0 
 760k    0 
1336k  404k
2300k    0 
  32k   41M
 248k   55M
 116k   20M
 100k   40M
1076k  104k
1768k 4096B
   0     0 
   0     0 
   0     0 
   0    96k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0   196k
   0     0 
   0     0 
   0     0 
   0    24k
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    64k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
 128k    0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0  8192B
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
4096B    0 
   0    16k
   0     0 
   0  8192B
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    16k
   0     0 
   0  8192B
   0     0 
   0     0 
   0     0 
   0    16k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0  8192B
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0     0 
   0    16k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0     0 
   0    16k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    16k
   0     0 
   0  8192B
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0   268k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
4096B   48k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  8192B
   0     0 
   0     0 
   0     0 
   0     0 
   0    68k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    16k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    24k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
 296k    0 
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0    44k
   0     0 
   0     0 
   0     0 
   0    16k
   0    16k
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0    12k
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0  8192B
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
1788k    0 
  11M    0 
  15M    0 
  11M    0 
5840k   20k
 384k 8192B
3252k    0 
1656k    0 
 236k    0 
   0     0 
   0    60k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    56k
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0    24k
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0     0 
   0    28k
   0     0 
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0    12k
   0     0 
   0     0 
   0     0 
   0    60k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0    20k
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0    32k
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
8192B    0 
   0     0 
   0     0 
   0    44k
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    12k
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    16k
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    16k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    16k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    28k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0    16k
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    12k
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    16k
   0     0 
   0    16k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    16k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    28k
   0     0 
