Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    4424        2        4   100.0%           60        334
    4503        0        0   100.0%           60        334
    4485        0        2   100.0%           60        334
    3946        0        2   100.0%           60        334
    4388        0        2   100.0%           60        334
    3981        1        8   100.0%           60        334
    4407        0        2   100.0%           60        334
    3913        0        2   100.0%           60        334
    4446        0        2   100.0%           60        334
    4431        0        2   100.0%           60        334
    3942        2        4    99.9%           60        334
    2313        0        2   100.0%           60        334
    1825        0        2   100.0%           60        334
    1321        0        1   100.0%           60        334
    1311        0        1   100.0%           60        334
    1322        0        0   100.0%           60        334
    1804        0        0   100.0%           60        334
    1351        0        0   100.0%           60        334
    1342        0        0   100.0%           60        334
    1802        0        0   100.0%           60        334
    1347        0        0   100.0%           60        334
    1343        0        0   100.0%           60        334
    1341        0        0   100.0%           60        334
    1328        0        0   100.0%           60        334
    1317        0        0   100.0%           60        334
    1316        0        0   100.0%           60        334
    1785        0        0   100.0%           60        334
    1318        0        0   100.0%           60        334
    1817        0        0   100.0%           60        334
    1323        0        0   100.0%           60        334
    1840        0        0   100.0%           60        334
    1807        0        0   100.0%           60        334
    1842        0        0   100.0%           60        334
    1825        0        1   100.0%           60        334
    1328        0        2   100.0%           60        334
    1843        0        2   100.0%           60        334
    1824        1        5    99.9%           60        334
    1346        0        2   100.0%           60        334
    1835        0        2   100.0%           60        334
    1802        0        2   100.0%           60        334
    1851        0        2   100.0%           60        334
    1818        0        8   100.0%           60        334
    1326        0        2   100.0%           60        334
    1349        0        2   100.0%           60        334
    1849        0        2   100.0%           60        334
    1823        0        2   100.0%           60        334
    1319        0        1   100.0%           60        334
    1319        0        1   100.0%           60        334
    1322        0        0   100.0%           60        334
    3281        0        0   100.0%           60        334
    4438        0        0   100.0%           60        334
    4487        0        0   100.0%           60        334
    4422        0        0   100.0%           60        334
    4431        0        0   100.0%           60        334
    4466        0        0   100.0%           60        334
    4489        0        0   100.0%           60        334
    3931        0        0   100.0%           60        334
    3931        0        0   100.0%           60        334
    4450        0        0   100.0%           60        334
    3906        0        3   100.0%           60        334
    4502        0        0   100.0%           60        334
    4416        0        0   100.0%           60        334
    4421        0        0   100.0%           60        334
    4451        0        0   100.0%           60        334
    3948        0        0   100.0%           60        334
    3963        0        0   100.0%           60        334
    3935        0        0   100.0%           60        334
    3981        0        1   100.0%           60        334
    4451        0        1   100.0%           60        334
    4449        0        5   100.0%           60        334
    4471        0        2   100.0%           60        334
    3929        0        2   100.0%           60        334
    3914        1        7   100.0%           60        334
    4440        0        5   100.0%           60        334
    1828        0        2   100.0%           60        334
    1807        0        2   100.0%           60        334
    1802        0        2   100.0%           60        334
    1800        0        2   100.0%           60        334
    1854        0        2   100.0%           60        334
    1318        0        1   100.0%           60        334
    1340        0        0   100.0%           60        334
    1829        0        0   100.0%           60        334
    1317        0        0   100.0%           60        334
    1342        0        0   100.0%           60        334
    1822        0        0   100.0%           60        334
    1844        0        0   100.0%           60        334
    1797        0        0   100.0%           60        334
    1348        0        0   100.0%           60        334
    1844        0        0   100.0%           60        334
    1856        0       20   100.0%           60        334
    1346        0        0   100.0%           60        334
    1316        0        0   100.0%           60        334
    1822        0        0   100.0%           60        334
    1328        0        0   100.0%           60        334
    1780        0        0   100.0%           60        334
    1362        0        0   100.0%           60        334
    1850        0        0   100.0%           60        334
    1840        0        0   100.0%           60        334
    1498        0        0   100.0%           60        334
    1350        1        4    99.9%           60        334
    1329        0        2   100.0%           60        334
    1853        1        2    99.9%           60        334
    1356        0        2   100.0%           60        334
    1826        0        2   100.0%           60        334
    1317        0       10   100.0%           60        334
    1830        0        2   100.0%           60        334
    1800        0        2   100.0%           60        334
    1351        0        2   100.0%           60        334
    1353        0        2   100.0%           60        334
    1819        2        4    99.9%           60        334
    1627        0        2   100.0%           60        334
