Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    4439        0        1   100.0%          140        824
    7169        0        8   100.0%          140        824
    4483        0        1   100.0%          140        824
    3892        0        1   100.0%          140        824
    3972        0        1   100.0%          140        824
    3952        0        1   100.0%          140        824
    4452        0        1   100.0%          140        824
    4461        0        1   100.0%          140        824
    4491        0        7   100.0%          140        824
    4443        0        1   100.0%          140        824
    5158        0        1   100.0%          140        824
    3988        0        1   100.0%          140        824
    3973        0        4   100.0%          140        824
    4553        0        1   100.0%          140        824
    4498        0        1   100.0%          140        824
    4457        0       11   100.0%          140        824
    3981        0        1   100.0%          140        824
    3906        0        1   100.0%          140        824
    4461        0        1   100.0%          140        824
    4473        0        1   100.0%          140        824
    3929        2        3    99.9%          140        824
    4440        0        2   100.0%          140        824
    3940        0        1   100.0%          140        824
    4202        0        1   100.0%          140        824
    3979        0        1   100.0%          140        824
    4470        2        2   100.0%          140        824
    3956        0        4   100.0%          140        824
    4544        0        1   100.0%          140        824
    4504        0        1   100.0%          140        824
    4475        0        1   100.0%          140        824
    4511        0        1   100.0%          140        824
    4523        0        1   100.0%          140        824
    3927        0        1   100.0%          140        824
    4466        0        1   100.0%          140        824
    4434        0        1   100.0%          140        824
    4479        0        1   100.0%          140        824
    3914        2        2    99.9%          140        824
    4450        0        1   100.0%          140        824
    4437        0        1   100.0%          140        824
    4511        0        1   100.0%          140        824
    4050        0        1   100.0%          140        824
    4470        0        1   100.0%          140        824
    4497        0        1   100.0%          140        824
    4502        0        1   100.0%          140        824
    4468        0        1   100.0%          140        824
    4463        0        1   100.0%          140        824
    4492        0        1   100.0%          140        824
    4469        0        4   100.0%          140        824
    4512        0        1   100.0%          140        824
    4482        0        4   100.0%          140        824
    4120        0        1   100.0%          140        824
    4526        0        1   100.0%          140        824
    4476        0        1   100.0%          140        824
    3963        0        6   100.0%          140        824
    4468        0        1   100.0%          140        824
    4506        0        4   100.0%          140        824
    4525        0        1   100.0%          140        824
    3946        2        2    99.9%          140        824
    3905        0        1   100.0%          140        824
    4500        0        1   100.0%          140        824
    4479        0        1   100.0%          140        824
    4451        0        1   100.0%          140        824
    4527        0        1   100.0%          140        824
    3920        0        1   100.0%          140        824
    4484        0        1   100.0%          140        824
    4452        0        1   100.0%          140        824
    4477        0        1   100.0%          140        824
    4478        0        4   100.0%          140        824
    3921        2        4    99.9%          140        824
    4447        0        1   100.0%          140        824
    4462        0        1   100.0%          140        824
    4459        0        1   100.0%          140        824
