[7l-dsk/total-
 read  writ
  25M   21M
  25M   30M
  25M   36M
  25M   34M
  25M   35M
  25M   36M
  37M   48M
  13M 4096B
  25M    0 
  25M 6156k
  25M   26M
  25M   29M
  25M   21M
  25M   30M
  25M   34M
5512k   36M
   0    97M missed 2 ticks
4612k 4996k
  25M   15M
  25M   36k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M   20M
  25M   25M
  25M   27M
  26M   26M
  26M   29M
  25M   32M
  25M   32M
  25M   38M
  25M   39M
  25M   37M
  25M 4808k
  25M    0 
  25M 9688k
  25M   31M
  25M   20M
  25M   28M
  25M   27M
  25M   32M
  25M   31M
  25M   37M
  64M   93M missed 2 ticks
  12M 4096B
  25M    0 
  25M 5036k
  25M   27M
  25M   25M
  25M   23M
  25M   27M
  25M   32M
  79M  115M missed 3 ticks
  21M 4096B
  25M 1044k
  25M   27M
  25M   22M
  25M   30M
  25M   21M
  20M   36M
   0   120M missed 3 ticks
  14M   20M
  25M 2720k
  25M    0 
  24M    0 
  25M    0 
  25M    0 
  25M  416k
  25M   27M
  25M   29M
  25M   24M
  25M   21M
6912k   36M
   0   119M missed 3 ticks
  14M   11M
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M 2080k
  25M   29M
  25M   26M
  25M   23M
  25M   22M
  21M   37M
   0   121M missed 3 ticks
  13M   18M
  25M 4768k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M 1068k
  25M   27M
  25M   26M
  25M   26M
  25M   20M
1672k   35M
4096B   35M
   0    34M
  16M   33M
  25M   25M
  25M    0 
  25M   32k
  25M    0 
  25M    0 
  25M 6288k
  25M   26M
  24M   24M
  25M   24M
  25M   25M
  25M   33M
  25M   34M
  25M   39M
  49M   70M
2560k 4096B
  25M    0 
  25M    0 
  25M   25M
  25M   23M
  25M   28M
  24M   21M
  25M   33M
6656k   32M
   0   120M missed 3 ticks
  20M 4096B
  25M   20k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M   16M
  25M   26M
  25M   22M
  25M   28M
  25M   22M
  25M   26M
  25M   32M
  25M   36M
  25M   36M
  25M   36M
  25M   36M
  25M   18M
  25M    0 
  25M 1092k
  25M   31M
  25M   22M
  25M   26M
  25M   24M
  25M   32M
  25M   36M
  25M   38M
  64M   92M missed 2 ticks
  11M 4096B
  25M    0 
  25M 1056k
  25M   28M
  25M   24M
  25M   26M
  25M   23M
7560k   35M
   0   109M missed 2 ticks
2816k 3076k
  26M   19M
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  19M   16M
  25M   22M
  25M   26M
  25M   24M
  25M   26M
  17M   32M
   0    35M
   0    37M
   0    37M
  12M   33M
  25M    0 
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M 1036k
  25M   27M
  25M   28M
  25M   24M
  15M   28M
  25M 6728k
  25M   35M
  63M   91M missed 2 ticks
  12M 4096B
  25M    0 
  25M   25M
  25M   26M
  24M   25M
  25M   24M
  25M   24M
  25M   30M
  25M   35M
  25M   35M
  25M   36M
  25M   36M
  25M   34M
  25M 9068k
  25M    0 
  25M 7852k
  25M   25M
  25M   30M
  25M   21M
  25M   30M
  25M   37M
  25M   36M
  25M   37M
  38M   54M
  12M 4096B
  25M    0 
  25M 4236k
  25M   28M
  25M   24M
  25M   24M
  25M   28M
  25M   37M
8072k   37M
   0    90M missed 2 ticks
  15M   20M
  25M 4480k
  25M   36k
  25M    0 
  25M    0 
  25M    0 
  24M 4748k
  23M   26M
  25M   22M
  25M   27M
  25M   25M
  25M   37M
  25M   35M
  82M  118M missed 3 ticks
  17M 4096B
  25M   20k
  25M 5260k
  25M   27M
  25M   27M
  25M   21M
  25M   30M
  25M   37M
  25M   37M
  25M   36M
  25M   37M
  25M   17M
  25M    0 
  25M 3756k
  25M   28M
  25M   26M
  25M   22M
  25M   30M
  25M   36M
  25M   36M
  25M   36M
  24M   36M
  30M   44M
  19M 4096B
  24M    0 
  25M 3216k
  25M   29M
  25M   24M
  25M   24M
  25M   29M
  25M   37M
  25M   34M
  70M   98M missed 2 ticks
4608k 4096B
  25M    0 
  24M 1072k
  25M   31M
  26M   27M
  25M   21M
  25M   23M
  11M   37M
   0   111M missed 3 ticks
  19M   20M
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  26M    0 
  26M   11M
  25M   29M
  25M   22M
  25M   27M
  25M   29M
  25M   36M
  95M  126M missed 3 ticks
9200k 4096B
  25M   20k
  25M   14M
  25M   26M
  25M   20M
  25M   28M
  17M   28M
   0    37M
   0    37M
   0    33M
   0    32M
  21M 7352k
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M   14M
  25M   26M
  25M   24M
  25M   28M
  25M   27M
  25M   36M
  93M  126M missed 3 ticks
8192k 4096B
  25M   20k
  25M 7820k
  25M   29M
  25M   23M
  25M   23M
  25M   29M
  25M   34M
  25M   36M
  25M   36M
  25M   35M
  25M   31M
  28M   35M
  23M 4096B
  25M    0 
  25M   16M
  25M   26M
  25M   22M
  25M   29M
9488k   28M
9972k   36M
  25M   35M
  46M   66M
4096k 4096B
  25M    0 
  25M    0 
  25M   20k
  25M   29M
  25M   22M
  25M   27M
  25M   25M
  13M   35M
   0   102M missed 2 ticks
1912k 1028k
  25M   32M
  25M   32k
  25M    0 
  25M    0 
  25M    0 
  25M    0 
  25M   18M
  25M   29M
  25M   22M
  25M   27M
  24M   31M
  25M   34M
  82M  115M missed 3 ticks
8448k 4096B
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0    33M
   0    36M
   0    37M
   0  9536k
   0     0 
   0    64k
   0     0 
   0    28k
   0     0 
   0     0 
 172k    0 
   0     0 
   0    56k
   0     0 
   0     0 
   0    16k
   0     0 
   0    32k
   0     0 
   0     0 
   0    20k
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    16k
   0     0 
   0     0 
   0    28k
   0     0 
   0    72k
   0     0 
   0     0 
   0    20k
   0     0 
   0    16k
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    16k
   0     0 
   0     0 
   0     0 
   0    32k
   0    28k
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0    16k
   0    32k
   0     0 
   0     0 
   0     0 
   0    20k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    12k
   0     0 
   0    20k
   0     0 
   0     0 
   0    12k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0   300k
   0     0 
   0    16k
   0     0 
4096B    0 
   0    64k
   0     0 
   0    56k
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    12k
   0     0 
   0     0 
   0     0 
   0    20k
   0    16k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0    52k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0    16k
   0    32k
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    16k
   0     0 
   0    32k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0    28k
   0    24k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0    20k
   0     0 
   0     0 
   0     0 
   0    16k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    16k
   0     0 
   0    32k
   0     0 
   0     0 
   0    20k
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    12k
   0     0 
   0     0 
   0    20k
   0     0 
   0    16k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    16k
   0     0 
   0     0 
   0     0 
   0    32k
   0    20k
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    20k
   0    20k
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    88k
   0     0 
   0     0 
   0     0 
   0     0 
   0    52k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0    12k
   0    32k
   0     0 
   0     0 
   0     0 
   0    28k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0    12k
   0     0 
   0    32k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    40k
   0     0 
   0  8192B
   0     0 
   0     0 
   0     0 
   0    20k
   0    28k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    60k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0  8192B
   0    20k
   0     0 
   0   300k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    52k
   0     0 
   0    48k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0    12k
   0     0 
   0     0 
   0     0 
   0    32k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    32k
   0    24k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0    12k
   0    32k
   0     0 
   0     0 
   0     0 
   0    12k
   0    36k
   0     0 
   0     0 
   0     0 
   0    28k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    20k
   0     0 
   0    16k
   0     0 
   0     0 
   0    44k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    32k
   0     0 
   0    32k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    52k
   0     0 
   0     0 
   0     0 
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    32k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    16k
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  8192B
   0     0 
   0     0 
   0    32k
   0     0 
   0    16k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    12k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0    16k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  8192B
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0     0 
   0     0 
   0     0 
   0     0 
   0    68k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0    36k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    32k
   0     0 
   0     0 
   0     0 
   0    48k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0     0 
   0    32k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0    12k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    12k
   0     0 
   0     0 
   0    32k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    32k
   0     0 
   0    28k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0   308k
   0     0 
   0    28k
   0     0 
   0     0 
   0    64k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    12k
   0     0 
   0     0 
   0     0 
   0    32k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  8192B
   0     0 
   0     0 
   0     0 
   0     0 
   0    72k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0  8192B
   0    32k
   0     0 
   0     0 
   0     0 
   0    16k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    12k
   0     0 
   0    32k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    32k
   0     0 
   0    16k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
