[7l-dsk/total-
 read  writ
 193k  190k
   0     0 
   0     0 
   0     0 
   0     0 
   0    96k
   0   300k
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    12k
   0     0 
   0    32k
   0     0 
   0     0 
   0    12k
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0    20k
   0    12k
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0  8192B
   0    20k
   0     0 
   0     0 
   0     0 
   0    12k
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0    20k
   0     0 
   0    40k
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    12k
   0    16k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0    12k
   0    24k
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0    20k
   0     0 
   0     0 
   0    12k
   0     0 
   0    20k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    28k
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0    12k
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0     0 
   0    12k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0     0 
   0    16k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0     0 
   0    56k
   0    32k missed 3 ticks
   0     0 
   0   320k
   0   216k
   0     0 
   0     0 
   0   884k
   0   772k
   0     0 
   0     0 
   0     0 
   0     0 
   0    60k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0   248k
   0    56k
   0     0 
   0     0 
   0     0 
   0     0 
   0    52k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0   196k
   0   564k
   0  1156k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    72k
   0     0 
   0     0 
   0    64k
   0   132k
   0  1612k
   0    20k
   0     0 
   0     0 
   0   236k
   0   668k
   0  1048k
   0     0 
   0     0 
   0     0 
   0   204k
   0     0 
   0   288k
   0  1396k
   0   240k
   0     0 
   0     0 
   0     0 
   0     0 
   0    76k
   0    24k
   0     0 
   0     0 
   0     0 
   0    20k
   0   200k
   0   276k
   0  1428k
   0     0 
   0     0 
   0    16k
   0   244k
   0   236k
   0  1668k
   0   100k
   0   248k
   0   336k
   0   172k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    36k
   0  1108k
   0   856k
   0   196k
   0     0 
   0     0 
   0   144k
   0     0 
   0    72k
   0     0 
   0     0 
   0     0 
   0     0 
   0   244k
   0     0 
   0   208k
   0   196k
   0   388k
   0     0 
   0     0 
   0     0 
8192B    0 
   0    84k
   0     0 
   0     0 
  32k  532k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0   512k
   0     0 
   0  1544k
   0    76k
   0     0 
   0     0 
   0     0 
   0     0 
   0    76k
   0   240k
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    60k
   0   664k
   0     0 
   0     0 
   0     0 
   0     0 
   0   168k
   0     0 
   0     0 
   0     0 
   0     0 
   0    80k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0   668k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0    96k
   0     0 
   0     0 
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0   204k
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
 412k    0 
   0     0 
   0    24k
   0     0 
   0   108k
   0     0 
   0     0 
   0   112k
 320k 1092k
  92k   92k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0   136k
   0    32k
   0     0 
   0     0 
   0   200k
   0   500k
   0     0 
  12k    0 
   0     0 
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
4096B    0 
   0   496k
   0     0 
   0     0 
   0     0 
   0     0 
   0   144k
   0   428k
   0   288k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0   628k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    52k
   0     0 
   0     0 
   0     0 
   0     0 
   0   704k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0  8192B
   0     0 
   0     0 
   0     0 
   0     0 
4096B  188k
   0   148k
   0   512k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0    12k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0  8192B
   0     0 
   0     0 
   0    28k
   0     0 
   0   140k
   0     0 
   0     0 
   0    20k
   0     0 
   0   744k
   0     0 
   0     0 
   0   704k
   0     0 
   0     0 
   0     0 
   0     0 
   0    68k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0   148k
   0   944k
   0   484k
   0    16k
   0    84k
   0  1092k
   0    80k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    36k
   0     0 
   0   304k
   0   400k
   0  1160k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0     0 
   0    20k
   0     0 
   0    16k
   0     0 
   0     0 
   0    40k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    20k
   0     0 
   0   140k
   0     0 
   0     0 
   0    20k
   0     0 
   0   500k
   0   228k
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    20k
   0     0 
   0   120k
   0     0 
   0     0 
   0    36k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0   380k
   0   264k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
4096B   64k
   0     0 
   0     0 
   0   476k
   0   480k
   0   212k
   0   308k
   0   188k
   0     0 
   0     0 
   0     0 
   0     0 
   0   220k
   0     0 
   0   492k
   0    20k
   0     0 
   0   520k
   0   488k
   0     0 
   0     0 
   0     0 
   0    20k
   0    40k
   0     0 
   0     0 
   0     0 
   0   500k
   0  1180k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0   712k
   0   204k
   0   316k
   0   192k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0  1472k
   0   172k
   0   156k
   0   660k
   0    64k
   0     0 
   0     0 
   0     0 
4096B 1052k
   0   240k
   0   176k
   0   420k
   0     0 
   0     0 
   0     0 
   0     0 
   0    52k
   0    36k
   0     0 
   0     0 
   0   120k
   0     0 
   0     0 
   0     0 
   0     0 
   0    68k
   0     0 
   0  4096B
  12k    0 
  68k    0 
5708k  180k
4432k    0 
6928k    0 
 804k    0 
   0     0 
   0   344k
   0     0 
   0   612k
   0     0 
   0     0 
   0    24k
   0     0 
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0   772k
   0   924k
   0     0 
   0     0 
   0     0 
   0     0 
   0    84k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0   704k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0   124k
   0     0 
   0    52k
   0     0 
   0     0 
   0    72k
   0   668k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    76k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0   492k
   0   212k
   0  4096B
  88k    0 
   0     0 
   0     0 
   0    68k
   0   168k
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    56k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    92k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0   668k
   0     0 
   0  8192B
 672k    0 
   0     0 
   0    88k
   0     0 
   0    12k
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    24k
   0   140k
   0     0 
   0     0 
   0     0 
   0    28k
   0   308k
   0     0 
   0     0 
   0     0 
   0     0 
  36k 8192B
   0    92k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0  8192B
   0     0 
   0    64k
   0   668k
   0     0 
   0   172k
   0     0 
   0     0 
   0    48k
   0     0 
   0   700k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0   724k
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0   684k
   0     0 
   0   648k
   0    20k
   0     0 
   0     0 
   0     0 
   0   124k
   0   124k
   0     0 
   0     0 
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0   668k
   0     0 
   0     0 
   0     0 
   0     0 
   0    88k
   0     0 
   0   372k
   0   308k
   0    32k
   0     0 
   0     0 
   0     0 
   0    96k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    20k
   0   232k
   0     0 
   0     0 
   0     0 
   0    88k
   0   700k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    84k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0   724k
   0   224k
   0   256k
   0   368k
  12k  144k
   0     0 
   0     0 
   0   188k
   0     0 
   0    36k
   0     0 
   0     0 
   0    20k
   0   512k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0   508k
   0     0 
   0     0 
   0  1540k
8192B   64k
   0     0 
   0     0 
   0  1184k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    36k
   0    96k
   0     0 
   0     0 
   0    12k
   0     0 
   0    60k
   0     0 
   0     0 
   0   180k
   0     0 
   0    36k
   0     0 
   0     0 
   0    20k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0   100k
   0     0 
   0     0 
   0     0 
   0     0 
   0    48k
   0    68k
   0     0 
   0     0 
   0     0 
   0    32k
   0  8192B
   0     0 
   0     0 
   0     0 
   0     0 
   0   104k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0   368k
   0   468k
   0   252k
   0   464k
   0   172k
   0     0 
   0     0 
   0   528k
   0     0 
   0    64k
   0  1352k
   0   276k
   0     0 
   0     0 
   0   120k
   0     0 
   0   608k
   0   524k
   0     0 
   0     0 
   0     0 
   0     0 
   0    32k
   0    72k
   0  8192B
   0  1132k
   0     0 
   0     0 
   0     0 
   0   132k
   0     0 
   0    52k
   0     0 
   0     0 
   0    24k
   0     0 
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0   508k
   0     0 
   0   480k
   0    96k
   0     0 
   0     0 
   0   540k
   0     0 
   0     0 
  40k    0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0  8192B
   0   512k
   0  1540k
   0     0 
   0     0 
   0   168k
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0   712k
   0     0 
   0     0 
   0     0 
   0     0 
   0    72k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0    72k
   0    24k
   0     0 
   0   660k
   0     0 
   0    96k
   0     0 
   0     0 
   0     0 
   0    52k
   0   548k
   0    92k
   0    44k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0   612k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    76k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    28k
   0     0 
   0     0 
   0     0 
   0    24k
   0    20k
   0     0 
   0     0 
   0     0 
   0   204k
   0     0 
   0     0 
   0     0 
   0     0 
   0   696k
   0     0 
   0     0 
   0     0 
   0     0 
   0    64k
   0     0 
   0     0 
   0     0 
   0     0 
   0  8192B
   0    32k
   0     0 
   0   676k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0   756k
   0     0 
   0     0 
   0     0 
   0     0 
   0   188k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0   672k
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0   680k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0  4096B
   0     0 
   0     0 
   0   656k
   0     0 
   0  4096B
   0     0 
   0  1024k
   0   484k
   0   176k
   0   120k
   0     0 
   0     0 
   0   480k
   0    20k
   0    20k
   0     0 
   0     0 
   0     0 
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0    48k
   0     0 
   0     0 
   0     0 
   0  1456k
   0    76k
   0   136k
   0   564k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    72k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    20k
   0    44k
   0   608k
   0     0 
   0   144k
   0     0 
   0     0 
   0    76k
   0     0 
   0     0 
   0   700k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    68k
   0     0 
   0     0 
   0    24k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    92k
   0     0 
   0   336k
   0   880k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    48k
   0     0 
   0     0 
   0     0 
   0   168k
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    32k
   0     0 
   0     0 
   0     0 
   0     0 
   0   644k
   0  8192B
   0     0 
   0     0 
   0     0 
   0     0 
   0    84k
   0     0 
   0     0 
   0    88k
   0     0 
   0    24k
   0     0 
   0     0 
   0    12k
   0     0 
   0    20k
   0     0 
   0     0 
   0   676k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0   160k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0    28k
   0    56k
   0     0 
   0   648k
   0    20k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    92k
   0   144k
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0   676k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0    16k
   0   668k
   0     0 
   0     0 
   0     0 
   0    28k
   0    32k
   0     0 
   0     0 
   0     0 
   0    16k
   0    36k
   0     0 
   0     0 
   0     0 
   0   112k
   0   672k
   0     0 
   0     0 
   0     0 
   0     0 
   0   720k
   0     0 
   0     0 
   0     0 
   0   332k
   0     0 
   0     0 
   0     0 
   0   724k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0   180k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0   136k
   0   508k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    40k
   0     0 
   0    12k
   0     0 
   0   708k
   0     0 
   0     0 
   0    96k
   0     0 
   0    96k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    92k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0    28k
   0   648k
   0     0 
   0     0 
   0     0 
   0  4096B
   0   108k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0   188k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    52k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0   176k
   0   496k
   0     0 
   0     0 
   0     0 
   0     0 
   0   496k
   0   528k
   0   204k
   0   312k
   0   172k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    44k
   0    96k
   0     0 
   0     0 
   0     0 
   0     0 
   0    72k
   0   156k
   0     0 
   0     0 
   0     0 
   0    56k
   0  8192B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    80k
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    36k
   0     0 
   0     0 
   0   424k
   0  1160k
   0    76k
   0     0 
   0     0 
   0     0 
   0    72k
   0   184k
   0   332k
   0   184k
   0     0 
   0     0 
   0   152k
   0     0 
   0    40k
   0     0 
   0     0 
   0   344k
 128k 1244k
   0     0 
   0   204k
   0   360k
   0  1116k
   0  1140k
   0     0 
   0   224k
4096B  656k
   0   504k
   0    40k
   0   220k
   0   536k
   0   224k
   0  1948k
   0  5932k
   0   520k
   0     0 
   0     0 
  28k 1272k
 168k  132k
1832k  580k
   0    32k
   0     0 
   0  1596k
   0   308k
   0   360k
   0   212k
   0     0 
   0   648k
   0     0 
   0   664k
   0  1064k
   0     0 
   0    68k
   0     0 
   0     0 
   0    96k
   0     0 
   0   180k
   0   200k
   0   180k
   0   380k
   0  1480k
   0  6264k
   0     0 
   0     0 
   0     0 
   0     0 
   0   308k
   0     0 
   0     0 
   0     0 
   0     0 
   0   848k
   0     0 
   0     0 
   0     0 
   0     0 
   0  1428k
   0     0 
   0     0 
   0     0 
   0     0 
   0   380k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    96k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0     0 
   0     0 
   0    12k
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0    68k
   0    32k
   0     0 
   0     0 
   0     0 
   0   112k
   0     0 
   0   136k
   0   684k
   0     0 
   0     0 
   0     0 
   0     0 
   0    80k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    68k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0   244k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0   704k
   0     0 
   0  4096B
   0    76k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0  8192B
   0    20k
   0     0 
   0     0 
   0     0 
   0   780k
   0     0 
   0     0 
   0     0 
   0     0 
   0   112k
   0     0 
   0     0 
   0     0 
   0     0 
   0    24k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0  4096B
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0    80k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0    48k
   0   612k
   0     0 
   0     0 
   0     0 
   0     0 
   0    88k
   0  4096B
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0   128k
   0     0 
   0     0 
   0     0 
   0     0 
   0    96k
   0    80k
   0     0 
   0     0 
   0     0 
   0  8192B
   0     0 
   0    52k
   0     0 
   0     0 
   0    20k
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0  4096B
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    28k
   0     0 
   0     0 
   0   128k
   0     0 
   0   668k
   0     0 
   0     0 
   0     0 
   0     0 
   0     0 
   0    40k
   0     0 
   0  4096B
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0     0 
   0     0 
   0    20k
   0     0 
   0     0 
   0   644k
   0     0 
   0     0 
   0     0 
